cmap,color_space,num_seeds,mean_best_sigma_val,std_best_sigma_val,min_best_sigma_val,max_best_sigma_val,boxplot_path,paired_t_stat_vs_ref,paired_t_p_vs_ref,mannwhitney_u_vs_ref,mannwhitney_p_vs_ref
nipy_spectral,jzazbz,50,1.6510532509697766,1.1199870940743952,0.0,5.960582699984413,experiments/full_all_jitter_seed/nipy_spectral_robustness_boxplot_50seeds.png,-7.51443165705255,1.0633026451549867e-09,200.0,4.650121801327341e-13
turbo,lab,50,0.25365296252763675,0.00031774833028974154,0.2530477761293952,0.2543980065925084,experiments/full_all_jitter_seed/turbo_robustness_boxplot_50seeds.png,-1503.4756778550093,6.116180445212548e-116,0.0,7.066071930388932e-18
turbo,oklab,50,0.17919286097554077,0.018302557103143012,0.14063876974933467,0.21919042014734083,experiments/full_all_jitter_seed/turbo_robustness_boxplot_50seeds.png,-8.38654203064947,4.9288866891885094e-11,250.0,5.564629970024057e-12
turbo,sucs,50,0.1574799173466942,0.0002877773971388539,0.1569230983727052,0.15816781363512397,experiments/full_all_jitter_seed/turbo_robustness_boxplot_50seeds.png,nan,nan,nan,nan
turbo,jzazbz,50,1.345678918688685,1.1931689333455469,0.25524312237000396,3.719187422438656,experiments/full_all_jitter_seed/turbo_robustness_boxplot_50seeds.png,-7.041332102565907,5.7246501511883e-09,0.0,7.066071930388932e-18
gist_rainbow,lab,50,0.42505022021609856,0.0003185426269807394,0.4244616649347677,0.4258198247024597,experiments/full_all_jitter_seed/gist_rainbow_robustness_boxplot_50seeds.png,-1307.1214947114547,5.816333783643632e-113,0.0,7.066071930388932e-18
gist_rainbow,oklab,50,0.2580589015946914,0.04149211144201043,0.1735667351336423,0.33792242741539014,experiments/full_all_jitter_seed/gist_rainbow_robustness_boxplot_50seeds.png,13.422205158689467,4.9112058604133345e-18,2450.0,1.3493221354195963e-16
gist_rainbow,sucs,50,0.3369459021510637,0.00033454722415202223,0.3360750453836352,0.33768832518149905,experiments/full_all_jitter_seed/gist_rainbow_robustness_boxplot_50seeds.png,nan,nan,nan,nan
gist_rainbow,jzazbz,50,1.4788051429566869,1.2234188494828573,0.3114704413306505,5.051804526815445,experiments/full_all_jitter_seed/gist_rainbow_robustness_boxplot_50seeds.png,-6.599406240371424,2.770301338683909e-08,50.0,1.3493221354195963e-16
hsv,lab,50,0.4138854425615748,0.00021588326509966926,0.41337622553186043,0.4143500005342186,experiments/full_all_jitter_seed/hsv_robustness_boxplot_50seeds.png,-1977.8053211131,8.939354686492128e-122,0.0,7.066071930388932e-18
hsv,oklab,50,0.23752068787799913,0.048431293154436277,0.16383396983657736,0.3633339276964321,experiments/full_all_jitter_seed/hsv_robustness_boxplot_50seeds.png,14.350712017005293,3.5556689355625923e-19,2400.0,2.2916580858237433e-15
hsv,sucs,50,0.33584362649835525,0.0001959178815549311,0.33544610569715416,0.33638322386078257,experiments/full_all_jitter_seed/hsv_robustness_boxplot_50seeds.png,nan,nan,nan,nan
hsv,jzazbz,50,1.4685077458576987,1.3440479350027026,0.30985293484176074,4.755547821692533,experiments/full_all_jitter_seed/hsv_robustness_boxplot_50seeds.png,-5.959035175488208,2.706300259688288e-07,50.0,1.3493221354195963e-16
cubehelix,lab,50,0.28923265055432074,0.0045133609552968895,0.2813140525520523,0.3015859436156312,experiments/full_all_jitter_seed/cubehelix_robustness_boxplot_50seeds.png,-151.68928683124324,3.762260713640759e-67,0.0,7.066071930388932e-18
cubehelix,oklab,50,0.17358127172193616,0.007714514703815898,0.1461817864595687,0.17992035675354998,experiments/full_all_jitter_seed/cubehelix_robustness_boxplot_50seeds.png,20.496819122903457,1.0988800624274857e-25,2500.0,7.066071930388932e-18
cubehelix,sucs,50,0.19551525301621905,0.0013728815273381567,0.1928601449338523,0.19869680123659314,experiments/full_all_jitter_seed/cubehelix_robustness_boxplot_50seeds.png,nan,nan,nan,nan
cubehelix,jzazbz,50,1.481312967078452,0.8522667284440733,0.0,4.180969853944905,experiments/full_all_jitter_seed/cubehelix_robustness_boxplot_50seeds.png,-10.665304455604824,2.272156072390616e-14,50.0,1.3493221354195963e-16
